Drug,Target,label,pChEMBL ,Drug_phase,Target_type,Target_cluster,Drug_cluster,
CHEMBL4128926,CHEMBL252,Positive,10.64,0,membrance_receptor,0,2,
CHEMBL388978,CHEMBL4121,Positive,10.15,0,Enzyme_Kinase,1,0,
CHEMBL4128926,CHEMBL2413,Positive,10.09,0,membrance_receptor,0,2,
CHEMBL519240,CHEMBL2413,Positive,10.06,0,membrance_receptor,0,0,
CHEMBL1289926,CHEMBL1868,Positive,10,4,Enzyme_Kinase,2,3,
CHEMBL1289926,CHEMBL1955,Positive,10,4,Enzyme_Kinase,2,3,
CHEMBL388978,CHEMBL5568,Positive,9.925,0,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL1901,Positive,9.92,0,membrance_receptor,0,2,
CHEMBL388978,CHEMBL5407,Positive,9.92,0,Enzyme_Kinase,1,0,
CHEMBL525191,CHEMBL5145,Positive,9.89,0,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL4777,Positive,9.89,0,membrance_receptor,0,2,
CHEMBL379300,CHEMBL4282,Positive,9.8,0,Enzyme_Kinase,1,3,
CHEMBL4128926,CHEMBL1945,Positive,9.77,0,membrance_receptor,0,2,
CHEMBL4128926,CHEMBL256,Positive,9.77,0,membrance_receptor,0,2,
CHEMBL1289926,CHEMBL279,Positive,9.766666667,4,Enzyme_Kinase,2,3,
CHEMBL4128926,CHEMBL3176,Positive,9.72,0,membrance_receptor,0,2,
CHEMBL1421,CHEMBL1841,Positive,9.7,4,Enzyme_Kinase,2,0,
CHEMBL463931,CHEMBL1957,Positive,9.7,0,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL259,Positive,9.68,0,membrance_receptor,0,2,
CHEMBL4128926,CHEMBL2056,Positive,9.68,0,membrance_receptor,0,2,
CHEMBL388978,CHEMBL2148,Positive,9.628333333,0,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL2434,Positive,9.62,0,membrance_receptor,0,2,
CHEMBL4128926,CHEMBL4123,Positive,9.6,0,membrance_receptor,0,2,
CHEMBL4128926,CHEMBL4018,Positive,9.55,0,membrance_receptor,0,2,
CHEMBL288441,CHEMBL4852,Positive,9.52,4,Enzyme_Kinase,1,0,
CHEMBL1421,CHEMBL4367,Positive,9.52,4,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL4600,Positive,9.52,0,Enzyme_Kinase,1,0,
CHEMBL388978,CHEMBL2553,Positive,9.485,0,Enzyme_Kinase,1,0,
CHEMBL215152,CHEMBL2185,Positive,9.475,0,Enzyme_Kinase,1,0,
CHEMBL509032,CHEMBL1957,Positive,9.46,0,Enzyme_Kinase,2,2,
CHEMBL4128926,CHEMBL3155,Positive,9.41,0,membrance_receptor,0,2,
CHEMBL1822054,CHEMBL2842,Positive,9.4,0,Enzyme_Kinase,0,2,
CHEMBL288441,CHEMBL2073,Positive,9.4,4,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL214,Positive,9.37,0,membrance_receptor,0,2,
CHEMBL388978,CHEMBL3553,Positive,9.34,0,Enzyme_Kinase,2,0,
CHEMBL4128926,CHEMBL227,Positive,9.33,0,membrance_receptor,0,2,
CHEMBL4128926,CHEMBL5144,Positive,9.33,0,membrance_receptor,0,2,
CHEMBL388978,CHEMBL5518,Positive,9.32,0,Enzyme_Kinase,1,0,
CHEMBL188762,CHEMBL203,Positive,9.316666667,0,Enzyme_Kinase,2,1,
CHEMBL388978,CHEMBL2007,Positive,9.313333333,0,Enzyme_Kinase,2,0,
CHEMBL388978,CHEMBL2349,Positive,9.31,0,Enzyme_Kinase,1,0,
CHEMBL1421,CHEMBL2073,Positive,9.3,4,Enzyme_Kinase,2,0,
CHEMBL1873475,CHEMBL2250,Positive,9.3,4,Enzyme_Kinase,2,0,
